UMAP_1;UMAP_2;Ident
-12,3130207;2,056958945;Sporozoite
-12,66559695;2,185442062;Sporozoite
-12,0456581;4,135035606;Sporozoite
-12,55910014;3,134853693;Sporozoite
-11,51131724;5,308436247;Sporozoite
-12,20283412;1,448471548;Sporozoite
-12,3121128;1,881772311;Sporozoite
-12,4176607;2,958637806;Sporozoite
-12,96942328;2,194833489;Sporozoite
-12,03196429;2,494816871;Sporozoite
-12,19848441;2,793303819;Sporozoite
-12,64555549;1,997751506;Sporozoite
-12,55051803;2,18527958;Sporozoite
-12,1792736;3,124467226;Sporozoite
-12,1047964;3,452520462;Sporozoite
-12,23418616;2,910217376;Sporozoite
-12,04299258;2,57204351;Sporozoite
-12,39328288;2,56105754;Sporozoite
-12,7616186;3,522826524;Sporozoite
-12,65986442;3,075004669;Sporozoite
-12,53036403;1,372944178;Sporozoite
-12,77088927;2,634026857;Sporozoite
-12,49015044;1,366735371;Sporozoite
-12,6727724;2,692470403;Sporozoite
-12,35793876;1,94568059;Sporozoite
-12,46285724;1,830475481;Sporozoite
-12,39147281;2,05708644;Sporozoite
-12,31131171;2,872556182;Sporozoite
-12,71467971;2,098232122;Sporozoite
-11,98444842;3,416949363;Sporozoite
-12,5456829;2,25903246;Sporozoite
-12,4308443;2,088358493;Sporozoite
-12,23040771;3,316660972;Sporozoite
-12,68845939;2,946691723;Sporozoite
-12,11793612;3,948563429;Sporozoite
-12,56541633;2,747872086;Sporozoite
-12,65101813;1,619757326;Sporozoite
11,63653375;-8,88133922;Sporozoite
-12,16032695;3,479924293;Sporozoite
-12,48992347;1,415640386;Sporozoite
-11,91438865;2,855339141;Sporozoite
-12,23947906;1,675358625;Sporozoite
-12,07450103;4,448481651;Sporozoite
-12,1600151;4,10448298;Sporozoite
-11,60794257;5,29848084;Sporozoite
-12,60782145;2,903259965;Sporozoite
-12,34559726;1,680757971;Sporozoite
-12,99373721;2,982433887;Sporozoite
-12,5348463;1,464796634;Sporozoite
-11,29351996;6,808365198;Sporozoite
-12,56295108;3,201319547;Sporozoite
-12,41425513;2,965998622;Sporozoite
-11,93728351;4,548971506;Sporozoite
-12,97508525;2,413577052;Sporozoite
-12,82042312;2,685945602;Sporozoite
-12,17200088;2,633009048;Sporozoite
-11,5160303;5,740130754;Sporozoite
-12,63880157;2,219361158;Sporozoite
-12,41840075;2,353825422;Sporozoite
-12,03770541;3,364987703;Sporozoite
-12,17439841;3,855832906;Sporozoite
-12,09844779;2,555753322;Sporozoite
-11,67558478;5,160963865;Sporozoite
-12,36402987;4,853461118;Sporozoite
-11,54158496;5,538964124;Sporozoite
-12,14919852;5,726384493;Sporozoite
-11,60933112;6,638683649;Sporozoite
-11,25338172;6,995022627;Sporozoite
-11,29541301;6,901379438;Sporozoite
-12,31754111;5,510305257;Sporozoite
-11,41453265;5,331496091;Sporozoite
-11,31385039;6,33739409;Sporozoite
-11,93864631;4,988555046;Sporozoite
-11,2106161;6,814370962;Sporozoite
