Gene_IDs;Variable_1;Variable_2;Variable_3;Variable_4;Variable_5;Variable_6;Variable_7
Gene_391;3,86;0,04;5,69;3,2;0,37;0,89;0
Gene_392;4,08;0,29;1,63;1,8;0,25;2,42;0,66
Gene_393;4,61;0,65;2,82;2,95;0,71;4,69;1,27
Gene_394;0,85;1,61;2,56;1,85;0,66;4,48;0,21
Gene_395;2,33;0,07;5,9;5,29;3,89;0,73;0,1
Gene_396;9,79;0,77;6,04;7,91;1,35;3,68;0,62
Gene_397;5,92;0,06;4,47;8,44;1,99;8,23;1,14
Gene_398;9,31;2,88;7,71;8,93;4,85;6,31;0,64
Gene_399;4,7;0,14;4,94;7,26;1,1;4,23;7,41
Gene_400;1,75;0,17;1,09;1,78;0,17;4,74;2,76
Gene_401;1,33;0,87;1,35;1,77;0,19;0,81;2,73
Gene_402;4,07;2,77;2,51;2,63;3,1;1,61;2,05
Gene_403;1,97;0,76;1,13;0,66;4,64;0,9;0,79
Gene_404;1;0,23;0,85;1,54;2,01;5,67;0,67
Gene_405;1,13;0,32;0,55;1,56;0,67;1,34;0,06
Gene_406;6,14;1,05;2,62;6;2,64;6,65;1,22
Gene_407;1,79;0,71;0,35;1,09;0,12;1,27;0,24
Gene_408;1,91;0,19;0,53;4,13;0,9;2,57;0,23
Gene_409;3,78;0,05;2,93;4,49;0,14;2,29;0,47
Gene_410;0,81;0,06;2,34;0,21;0,2;0,81;0,09
Gene_411;4,09;2,28;5,06;5,36;3,47;3,29;5,13
Gene_412;2,8;0,04;0,84;1,25;0,02;0,54;0,08
Gene_413;5,82;1,34;2,24;1,34;1,24;1,33;1,48
Gene_414;6,71;0,69;3,95;3,91;2,82;2,51;0,56
Gene_415;1,78;1,3;1,44;0,67;0,58;1,26;0,09
Gene_416;2,49;0,51;2,61;4,07;1,18;2,46;0,35
Gene_417;2,99;0,05;1,81;3,34;0,74;0,87;1,23
Gene_418;4,07;0,02;2,22;3,02;0,2;1,75;0,09
Gene_419;7,02;0,64;4,65;5,59;1,29;2,57;0,8
Gene_420;4,73;2,8;4,05;4,45;2,09;1,57;4,16
Gene_421;6,98;1,15;6,49;7,6;2,48;2,94;2,72
